game_id,time_control,num_plies,white_s_att,black_s_att,white_lgbm_a0g,black_lgbm_a0g,white_detector_a3g_seed0,black_detector_a3g_seed0,white_cnn_bilstm_a4,black_cnn_bilstm_a4
2019-03_game_0021887,bullet,75,165.8746,86.9498,0.79906,0.356599,0.664124,0.266047,0.600431,0.455913
2019-04_game_0001611,bullet,32,70.3987,87.4949,0.490028,0.415436,0.111213,0.202406,0.202698,0.548716
2019-01_game_0024620,bullet,68,273.885,409.7992,0.387183,0.545751,0.351287,0.414869,0.202221,0.834678
2019-03_game_0027695,bullet,45,122.6192,191.7659,0.398665,0.468556,0.142821,0.119485,0.737434,0.476043
2019-06_game_0014159,bullet,52,143.2425,95.8281,0.403217,0.667402,0.29299,0.313161,0.252422,0.586502
2019-06_game_0016371,bullet,55,76.5463,161.8849,0.456397,0.665379,0.790713,0.213377,0.729547,0.408553
2019-03_game_0018662,bullet,31,517.244,527.387,0.423825,0.387576,0.13256,0.089491,0.606049,0.312234
2019-04_game_0017866,bullet,23,417.1505,303.2619,0.150662,0.100448,0.054833,0.047392,0.18917,0.236814
2019-01_game_0019069,bullet,84,245.2894,265.373,0.470273,0.408351,0.313963,0.779288,0.196022,0.513755
2023-05_game_0005649,bullet,44,425.7678,470.3914,0.654188,0.475706,0.214168,0.200315,0.26871,0.803331
2019-01_game_0019142,bullet,72,320.173,406.9257,0.354631,0.827113,0.365982,0.466571,0.605156,0.843428
2019-02_game_0022303,bullet,42,154.8206,158.3018,0.404058,0.44568,0.148091,0.170928,0.614566,0.485312
2019-02_game_0028673,bullet,100,135.3229,138.9524,0.526775,0.624919,0.458498,0.609395,0.467859,0.63202
2023-05_game_0016018,bullet,83,305.9471,258.8321,0.810273,0.338986,0.853358,0.274585,0.929706,0.829022
2019-05_game_0028467,bullet,73,130.838,132.5654,0.677321,0.432396,0.373569,0.513734,0.640073,0.217126
2019-03_game_0002419,bullet,58,58.3878,144.6635,0.318059,0.731219,0.258989,0.258796,0.332255,0.803659
2019-04_game_0021857,bullet,100,401.0924,375.3818,0.432322,0.523534,0.361883,0.463109,0.594683,0.523851
2019-06_game_0029376,bullet,61,92.7252,96.8539,0.614665,0.325697,0.143025,0.578676,0.425189,0.273949
2019-02_game_0013974,bullet,100,364.2359,353.3523,0.4639,0.431068,0.346315,0.578699,0.45343,0.619445
